Name,Description,Satellites,Website,Jobs site,Jobs 2,Locations,Remote,Crunchbase,Linkedin,Twitter,SPAC,Github,Youtube,Stocks,Medium,Instagram,Notes
Bluefield,Methane leak detection via microsatellites,Yes (planned),https://bluefield.co/,?,,"🇺🇸 San Francisco, USA",?,https://www.crunchbase.com/organization/bluefield-technologies,https://www.linkedin.com/company/bluefield-technologies/,https://twitter.com/bluefieldtech,,,,,,,
iQPS,SAR constellation,Yes,https://i-qps.net/,https://i-qps.net/career#section3,,"🇯🇵 Fukuoka, Japan",?,https://www.crunchbase.com/organization/iqps,x,https://twitter.com/QPS_Inc,,,,,,,
KatRisk,"Risk quantification: flood, wind, and other",,https://www.katrisk.com/,https://www.linkedin.com/company/katrisk-llc/jobs/,,"🇺🇸 Berkeley, USA | 🇺🇸 Austin, Texas, USA | 🇩🇪 Freiburg, Germany",?,https://www.crunchbase.com/organization/katrisk,https://www.linkedin.com/company/katrisk-llc/,https://twitter.com/KatRiskLLC,,,,,,,
Planet Observer,Data reseller,,https://planetobserver.com/,?,,"🇫🇷 Clermont, France",?,https://www.crunchbase.com/organization/planetobserver,https://www.linkedin.com/company/planetobserver/,https://twitter.com/PlanetObserver_,,,,,,,
Space Will,"SuperView constellation, imagery provider",,http://en.spacewillinfo.com/,?,,"🇨🇳 Beijing, China",?,x,https://www.linkedin.com/company/spacewill/,https://twitter.com/spacewillinfo,,,,,,,
Spacety,"Satellite operator, Satellite-as-a-service, DaaS",Yes,https://en.spacety.com/,?,,"🇨🇳 Beijing, China | 🇱🇺 Luxembourg",?,https://www.crunchbase.com/organization/tianyi-research-institute,https://www.linkedin.com/company/spacetyglobal/,https://mobile.twitter.com/ty_spacety,,,,,,,
Arturo,Insurance,,https://arturo.ai/,https://jobs.lever.co/Arturo,,"🇨🇦 Ottawa, Canada | 🇺🇸 Chicago, USA",~US based,https://www.crunchbase.com/organization/arturo-inc,https://www.linkedin.com/company/arturoai/,https://twitter.com/arturo_ai,,,,,,,
Near Space Labs,Balloon fleet providing high-resolution imagery at a low price,,https://nearspacelabs.com/,https://boards.greenhouse.io/nearspacelabs,,"🇺🇸 Multiple in USA | 🇪🇸 Barcelona, Spain",~US based,https://www.crunchbase.com/organization/near-space-labs,https://www.linkedin.com/company/near-space/,https://twitter.com/NearSpaceLabs,,,,,,,
EarthDaily,"Analytics, aggriculture",,https://earthdaily.com/,https://earthdaily.com/careers/career-opportunities/,https://www.linkedin.com/company/earthdailyanalytics/jobs/,"🇨🇦 Vancouver, Canada",~Yes,https://www.crunchbase.com/organization/earthdaily-analytics,https://www.linkedin.com/company/earthdailyanalytics/,https://twitter.com/earthdailya,,,,,,,
Orora Tech,Satellites for wildfire detection,Planned,https://ororatech.com,https://ororatech.com/about/careers/,,"🇩🇪 Munich, Germany",~Yes,https://www.crunchbase.com/organization/ororatech,https://www.linkedin.com/company/ororatech/,https://twitter.com/OroraTech,,,,,,,
SkyFi,"Making imagery available, on-demand satellite imagery",,https://skyfi.com/,https://skyfi.com/careers/,,"🇺🇸 Houston, USA | 🇺🇸 Austin, USA",~Yes,x,https://www.linkedin.com/company/skyfi-imaging/?trk=public_jobs_jserp-result_job-search-card-subtitle,x,,,,,,,
GHGSAT,"Hyperspectral constellation, greenhouse gases, monitoring tools",,https://www.ghgsat.com/en/,https://www.linkedin.com/company/ghgsat/jobs/,,"🇨🇦 Montreal, Canada",Canada-based,https://www.crunchbase.com/organization/ghgsat,https://www.linkedin.com/company/wyvern-space/,https://twitter.com/ghgsat,,,,,,,
SkyWatch,"Making imagery available, B2B",,https://www.skywatch.com/,https://www.skywatch.com/careers,,"🇺🇸 New York, USA | 🇨🇦 Waterloo, Canada",Canada-based,https://www.crunchbase.com/organization/skywatch-2,https://www.linkedin.com/company/skywatch-apps/,https://twitter.com/SkyWatchApps,,,,,,,
Edgybees,Georeferencing drone footage using satellite imagery,,https://edgybees.com/,https://edgybees.com/about-us/careers/,,"🇺🇸 Washington DC, USA",Hybrid,https://www.crunchbase.com/organization/edgybees,https://www.linkedin.com/company/edgybees-ltd/,https://twitter.com/Edgybees,,,https://www.youtube.com/c/Edgybees?app=desktop,,,,
SatelliteVu,"Thermal constellation, energy efficiency, carbon footprint",Yes (2023),https://www.satellitevu.com/,https://apply.workable.com/satellitevu/,https://www.linkedin.com/company/satellitevu/jobs/,"🇬🇧 London, UK",Hybrid (UK-based),https://www.crunchbase.com/organization/global-satellite-vu,https://www.linkedin.com/company/10487382/,https://twitter.com/satellitevu,,,,,,,
Axelspace,Microsatellite developer and satellite imagery provider.,,https://www.axelspace.com/,https://axelspace.applytojob.com/apply,,"🇯🇵 Tokyo, Japan",Maybe,https://www.crunchbase.com/organization/axelspace,https://www.linkedin.com/company/axelspace/,https://twitter.com/axelspace,,,,,,,
ICEYE,"SAR constellation, analytics",Yes,https://www.iceye.com/,https://www.iceye.com/careers?hsLang=en,,"🇫🇮 Espoo, Finland",Maybe,https://www.crunchbase.com/organization/iceye,https://www.linkedin.com/company/iceye/,https://twitter.com/iceyefi,,,,,,,
Aerospacelab,"EO Analytics, satellite platforms",Yes,https://www.aerospacelab.be/,https://www.aerospacelab.be/join-our-team/#jobOffers,,"🇧🇪 Louvain-la-Neuve, Belgium | 🇫🇷 Toulouse, France | 🇨🇭 Lausanne, Switzerland",No,https://www.crunchbase.com/organization/aerospacelab,https://www.linkedin.com/company/aerospacelab/,https://twitter.com/aerospacelab_be,,,,,,,
Airbus Space,"All-purpose, defense intelligence",,https://www.airbus.com/en/NextSpace,https://ag.wd3.myworkdayjobs.com/en-US/Airbus,,"🇩🇪 Immenstaad, Germany | 🇨🇦 Toulouse, Canada",No,https://www.crunchbase.com/organization/airbus-defense-space,https://www.linkedin.com/company/airbus-defence-and-space/,https://twitter.com/AirbusSpace,,,,,,,
Alba Orbital,Satellite developer and operator,,http://www.albaorbital.com/,http://www.albaorbital.com/careers,https://www.linkedin.com/company/alba-orbital/jobs/,"🇬🇧 Glasgow, UK",No,https://www.crunchbase.com/organization/alba-orbital,https://www.linkedin.com/company/alba-orbital/,https://twitter.com/AlbaOrbita,,,,,,,
Astraea,"Analytics platform, consulting",,https://astraea.earth/,https://astraea.earth/careers/,,"🇺🇸 Charlottesville, USA",No,https://www.crunchbase.com/organization/astraea-inc,https://www.linkedin.com/company/astraea/,https://twitter.com/AstraeaInc,,,,,,,
AXA Climate,Insurance,,https://www.climate.axa/,https://jobs.axa/careersection/1/moresearch.ftl,,"🇫🇷 Paris, France",No,https://www.crunchbase.com/organization/axa-climate,https://www.linkedin.com/company/axaclimate/?trk=public_profile_experience-item_profile-section-card_image-click,https://twitter.com/AXA,,,,,,,
CloudEO,Marketplace,,https://www.cloudeo.group/,https://www.cloudeo.group/join-us,,"🇩🇪 Munich, Germany",No,https://www.crunchbase.com/organization/cloudeo,https://www.linkedin.com/company/cloudeo-ag/,https://twitter.com/cloudeo_ag,,,,,,,
